CALL_TIME,lang,mainOption,subOption,IVRPosition,existingFault,suspendedAsset,dataLimitExceed,extraGBAdded,validAccount,outstanding,selectedQueue,enteredQueue,isAnswered,queue_time,talk_time,total_time
5/13/2026 23:59,S,14,,S7,,,,,TRUE,6467.85,S7,YES,YES,273,85,447
5/13/2026 23:59,S,4,extragb,S4112,,,,,TRUE,2979.45,S41,,,0,0,60
5/13/2026 23:59,S,1,,S1,,,,,TRUE,-84.53,S1,YES,YES,225,172,480
5/13/2026 23:59,S,1,,SLty1,,,,,FALSE,,S1,YES,,0,0,129
5/13/2026 23:59,S,,,S,,,,,FALSE,,,,,0,0,74
5/13/2026 23:59,S,2,peotv,S21,,YES,,,TRUE,-435.55,S2,YES,YES,291,43,405
5/13/2026 23:59,S,4,extragb,S4112,,,,,TRUE,8515.52,S41,,,0,0,65
5/13/2026 23:59,T,,,T,,,,,FALSE,,,,,0,0,10
5/13/2026 23:58,S,2,voice,MOBITEL_S23,,,,,TRUE,1136.81,S2,,,0,0,124
5/13/2026 23:58,S,4,extragb,S41i,,,,,FALSE,,S41,YES,,0,0,136
5/13/2026 23:58,S,2,broadband,S22,,,,,TRUE,-5090.17,S2,YES,YES,229,101,416
5/13/2026 23:58,S,4,extragb,S411,,,,,TRUE,19567.94,S41,,,0,0,34
5/13/2026 23:58,S,2,broadband,MOBITEL_S221,,YES,,,TRUE,4991.15,S2,YES,YES,244,42,381
5/13/2026 23:58,S,,,S,,,,,FALSE,,,,,0,0,444
5/13/2026 23:58,S,3,,S3,,,,,TRUE,-14.39,S3,,,0,0,89
5/13/2026 23:58,S,4,extragb,S4111,,,,YES,TRUE,2988.46,S41,,,0,0,53
5/13/2026 23:58,S,4,extragb,S411,,,,,TRUE,19567.94,S41,,,0,0,26
5/13/2026 23:57,S,14,,S7,,,,,TRUE,2886.31,S7,YES,,0,0,133
5/13/2026 23:57,S,2,broadband,S221,,YES,,,TRUE,18216.77,S2,YES,YES,204,88,354
5/13/2026 23:57,S,4,extragb,S4111,,,,YES,TRUE,29428.83,S41,,,0,0,35
5/13/2026 23:57,S,4,addon,S41211,,,YES,YES,TRUE,2143459.83,S41,,,0,0,129
5/13/2026 23:57,S,4,extragb,S411,,,,,TRUE,2640.14,S41,YES,YES,209,55,312
5/13/2026 23:57,T,,,T,,,,,FALSE,,,,,0,0,246
5/13/2026 23:57,T,14,,MOBITEL_T7,,,,,FALSE,,T7,YES,YES,0,20,139
5/13/2026 23:57,S,14,,S7,,,,,TRUE,11568.52,S7,YES,,0,0,306
5/13/2026 23:57,S,2,peotv,S211,,YES,,,TRUE,3043.58,S2,YES,YES,208,52,388
5/13/2026 23:57,S,,,S,,,,,FALSE,,,,,0,0,772
5/13/2026 23:57,,,,,,,,,FALSE,,,,,0,0,4
5/13/2026 23:57,S,4,extragb,S4112,,,,,TRUE,-37.06,S41,,,0,0,67
5/13/2026 23:57,S,4,extragb,S4111,,,,YES,TRUE,5625.11,S41,,,0,0,44
5/13/2026 23:57,S,4,extragb,S4111,,,,YES,TRUE,14521.03,S41,,,0,0,92
5/13/2026 23:57,S,4,extragb,S41t,,,,,TRUE,2970.14,S41,YES,,0,0,305
5/13/2026 23:57,S,,,S,,,,,FALSE,,,,,0,0,184
5/13/2026 23:57,S,14,,S7,,,,,TRUE,1603.97,S7,YES,YES,162,179,374
5/13/2026 23:57,S,,,S,,,,,FALSE,,,,,0,0,24
5/13/2026 23:56,S,2,peotv,S21,,,,,TRUE,3874.59,S2,YES,YES,222,39,305
5/13/2026 23:56,S,2,peotv,S211,,YES,,,TRUE,3110.9,S2,YES,YES,190,88,350
5/13/2026 23:56,S,,,S,,,,,FALSE,,S6,,YES,179,117,357
5/13/2026 23:56,S,2,broadband,S22,YES,,,,TRUE,95.42,S2,YES,YES,197,81,362
5/13/2026 23:56,S,,,S,,,,,FALSE,,,,,0,0,69
5/13/2026 23:56,S,4,extragb,S4111,,,,YES,TRUE,11549.26,S41,,,0,0,26
5/13/2026 23:56,S,1,,S1,,,,,TRUE,11830.37,S1,YES,YES,327,501,899
5/13/2026 23:56,S,1,,SLty1,,,,,FALSE,,S1,YES,YES,162,122,339
5/13/2026 23:56,S,,,S,,,,,FALSE,,,,,0,0,22
5/13/2026 23:55,T,14,,T7,,,,,TRUE,2700.84,T7,YES,YES,0,112,251
5/13/2026 23:55,S,,,S,,,,,FALSE,,,,,0,0,24
5/13/2026 23:55,,,,,,,,,FALSE,,,,,0,0,6
5/13/2026 23:55,,,,,,,,,FALSE,,,,,0,0,8
5/13/2026 23:55,S,6,1,S1,,,,,,,ECS,YES,YES,247,249,521
5/13/2026 23:55,S,4,extragb,S4111,,,,YES,TRUE,18507.92,S41,,,0,0,33
5/13/2026 23:55,S,1,,SLty1,,,,,FALSE,,S1,YES,YES,195,92,347
5/13/2026 23:55,S,,,MOBITEL_S,,,,,FALSE,,,,,0,0,5
5/13/2026 23:54,,,,,,,,,FALSE,,,,,0,0,6
5/13/2026 23:54,S,4,extragb,S4111,,,,YES,TRUE,13198.22,S41,,,0,0,37
5/13/2026 23:54,S,,,S,,,,,FALSE,,,,,0,0,26
5/13/2026 23:54,S,2,peotv,S21,,,,,TRUE,-86.6,S2,YES,YES,186,62,359
5/13/2026 23:54,S,3,,S3,,,,,TRUE,79.24,S3,YES,,0,0,160
5/13/2026 23:54,S,14,,S7,,,,,TRUE,25261.8,S7,YES,,0,0,130
5/13/2026 23:54,T,2,,MOBITEL_T2,,,,,FALSE,,T2,,,0,0,96
5/13/2026 23:54,S,14,,S7,,,,,TRUE,8457.67,S7,YES,YES,234,120,450
5/13/2026 23:54,S,2,broadband,S221,,YES,,,TRUE,7257.12,S2,YES,,0,0,181
5/13/2026 23:53,S,1,,SLty1,,,,,FALSE,,S1,YES,YES,284,229,561
5/13/2026 23:53,S,4,extragb,S4112,,,,,TRUE,-1.54,S41,,,0,0,52
5/13/2026 23:53,S,2,peotv,S21,,,,,TRUE,0.58,S2,YES,YES,234,120,427
5/13/2026 23:53,S,2,broadband,S221,,YES,,,TRUE,6277.58,S2,YES,YES,244,69,411
5/13/2026 23:53,S,3,,S3,,,,,TRUE,51903.63,S3,YES,YES,168,43,272
5/13/2026 23:53,E,4,extragb,MOBITEL_E4112,,,,,TRUE,3536.84,E41,,,0,0,39
5/13/2026 23:53,E,,,E,,,,,FALSE,,,,,0,0,49
5/13/2026 23:52,S,3,,S3,,,,,TRUE,17713.43,S3,YES,YES,238,86,361
5/13/2026 23:52,S,2,peotv,S21,,YES,,,TRUE,2813.66,S2,,,0,0,96
5/13/2026 23:52,S,2,peotv,S21,,,,,TRUE,-1897.21,S2,YES,,0,0,126
5/13/2026 23:52,S,2,peotv,S211,,YES,,,TRUE,9018.18,S2,YES,YES,268,88,461
5/13/2026 23:52,S,4,extragb,S4111,,,,YES,TRUE,7441.1,S41,,,0,0,29
5/13/2026 23:52,S,2,peotv,S21,,,,,TRUE,5328.31,S2,YES,,0,0,277
5/13/2026 23:52,,,,,,,,,FALSE,,,,,0,0,3
5/13/2026 23:52,S,1,,MOBITEL_SLty1,,,,,FALSE,,S1,YES,YES,260,37,332
5/13/2026 23:51,S,4,extragb,S411,,,,,TRUE,15967,S41,,,0,0,33
5/13/2026 23:51,S,2,voice,S23,,,,,TRUE,-5090.17,S2,,,0,0,163
5/13/2026 23:51,,,,,,,,,FALSE,,,,,0,0,9
5/13/2026 23:51,S,,,S,,,,,FALSE,,,,,0,0,134
5/13/2026 23:51,S,4,extragb,MOBITEL_S4111,,,,YES,TRUE,166.46,S41,,,0,0,79
5/13/2026 23:51,,,,,,,,,FALSE,,,,,0,0,2
5/13/2026 23:51,S,4,extragb,S411,,,,,TRUE,15967,S41,,,0,0,34
5/13/2026 23:51,S,3,,S3,,,,,TRUE,4689.69,S3,YES,YES,355,132,573
5/13/2026 23:51,S,3,,S3,,,,,TRUE,13710.85,S3,YES,YES,289,61,418
5/13/2026 23:51,,,,,,,,,FALSE,,,,,0,0,4
5/13/2026 23:50,S,3,,S3,,,,,TRUE,13982.23,S3,YES,YES,321,172,594
5/13/2026 23:50,E,1,,MOBITEL_ELty1,,,,,FALSE,,E1,YES,YES,49,18,103
5/13/2026 23:50,S,2,broadband,S22,,YES,,,TRUE,7257.12,S2,,,0,0,119
5/13/2026 23:50,S,3,,S3,,,,,TRUE,3110.9,S3,YES,,0,0,129
5/13/2026 23:50,S,,,S,,,,,FALSE,,,,,0,0,22
5/13/2026 23:50,S,,,S,,,,,FALSE,,,,,0,0,349
5/13/2026 23:50,S,3,,S3,,,,,TRUE,1603.97,S3,,,0,0,74
5/13/2026 23:50,S,,,S,,,,,FALSE,,,,,0,0,23
5/13/2026 23:50,S,4,extragb,S41t,,,,,TRUE,7248.58,S41,YES,,0,0,404
5/13/2026 23:50,S,3,,MOBITEL_S3,,,,,TRUE,3020.98,S3,YES,YES,347,155,561
5/13/2026 23:50,S,4,extragb,S4111,,,,,TRUE,5878.96,S41,,,0,0,31
5/13/2026 23:50,S,,,S,,,,,FALSE,,,,,0,0,131
5/13/2026 23:50,S,3,,S3,,,,,TRUE,4184.9,S3,,,0,0,49
5/13/2026 23:49,S,,,MOBITEL_S,,,,,FALSE,,,,,0,0,7
5/13/2026 23:49,S,2,peotv,S211,,YES,,,TRUE,3706.32,S2,YES,YES,317,54,464
5/13/2026 23:49,S,2,broadband,MOBITEL_S22,,,,,TRUE,0,S2,YES,,0,0,350
5/13/2026 23:49,S,,,S,,,,,FALSE,,,,,0,0,407
5/13/2026 23:49,S,,,S,,,,,FALSE,,,,,0,0,28
5/13/2026 23:49,S,14,,S7,,,,,TRUE,8227.89,S7,YES,YES,368,162,601
5/13/2026 23:49,S,2,peotv,S21,,,,,TRUE,11690.76,S2,YES,YES,382,113,550
5/13/2026 23:49,T,,,T,,,,,FALSE,,,,,0,0,27
5/13/2026 23:49,S,3,,S3,,,,,TRUE,-23,S3,,,0,0,75
5/13/2026 23:49,S,2,peotv,MOBITEL_S21,,YES,,,TRUE,-9.7,S2,YES,,0,0,185
5/13/2026 23:49,S,,,S,,,,,FALSE,,,,,0,0,251
5/13/2026 23:49,S,2,peotv,S21,,YES,,,TRUE,1773.22,S2,YES,,0,0,339
5/13/2026 23:49,S,3,,S3,,,,,TRUE,1603.97,S3,YES,,0,0,153
5/13/2026 23:49,S,4,extragb,S41121,,,,YES,TRUE,8364.72,S41,,,0,0,132
5/13/2026 23:48,S,2,broadband,S22,,,,,TRUE,4005.13,S2,YES,,0,0,192
5/13/2026 23:48,S,2,broadband,S222,,,YES,,TRUE,-421.45,S2,YES,YES,323,196,645
5/13/2026 23:48,S,2,peotv,S21,,,,,TRUE,0,S2,YES,YES,295,327,702
5/13/2026 23:48,S,2,peotv,S21,,,,,TRUE,3429.22,S2,YES,YES,297,278,678
5/13/2026 23:48,S,2,peotv,S211,,YES,,,TRUE,7086.18,S2,YES,,0,0,273
5/13/2026 23:48,S,2,peotv,S21,,,,,TRUE,3123.26,S2,YES,,0,0,124
5/13/2026 23:48,E,2,broadband,E22,,,,,TRUE,8454.61,E2,YES,YES,0,132,222
5/13/2026 23:48,S,4,extragb,S4111,,,,YES,TRUE,-99.77,S41,,,0,0,47
5/13/2026 23:47,S,2,broadband,S22,,,YES,,TRUE,-50.7,S2,YES,YES,326,150,569
5/13/2026 23:47,S,3,,S3,,,,,TRUE,2334.06,S3,YES,YES,330,99,570
5/13/2026 23:47,S,3,,S3,,,,,TRUE,2060.6,S3,YES,,0,0,117
5/13/2026 23:47,S,,,S,,,,,FALSE,,,,,0,0,22
5/13/2026 23:47,S,2,other,S2t,,,,,TRUE,4688.68,S2,YES,YES,317,128,579
5/13/2026 23:47,S,2,peotv,S211,,YES,,,TRUE,5963.62,S2,YES,YES,234,354,669
5/13/2026 23:47,,,,,,,,,FALSE,,,,,0,0,12
